Timestamp,gas,humidity,temp,tdsValue,water_temp,ph,heater,fan,O2,filtering,pump1,pump2,feed,led
2025-08-25 12:31:34,287.5,31.5,22.1,336.2,27.9,7.3,ON,ON,OFF,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:32,291.5,33.1,22.2,332.8,27.8,7.3,ON,ON,ON,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:30,288.1,32,21.9,324.3,27.8,7.3,OFF,ON,ON,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:28,282.2,30,21.9,328,27.8,7.3,OFF,ON,OFF,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:26,277.9,28.3,22.3,335.5,28,7.3,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:31:24,274,28.1,22.6,330.6,28.2,7.3,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:31:22,267.2,28.5,22.5,338.4,28.3,7.3,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:31:20,270,27.5,22.8,329,28.2,7.2,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:18,275.8,26,23,319.4,28.2,7.3,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:16,268.9,25.9,22.9,324.7,28.4,7.3,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:14,261.2,25.8,22.7,315.9,28.7,7.3,OFF,OFF,ON,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:12,269.1,26.8,23.1,320.9,28.7,7.3,OFF,ON,ON,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:10,272.6,26,23.3,325.2,28.6,7.3,OFF,ON,ON,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:09,268.5,27.2,23.2,315.7,28.6,7.3,OFF,ON,ON,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:31:06,274.3,27.3,23.3,308.6,28.6,7.3,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:31:04,268.5,27.2,23.3,299.2,28.4,7.3,ON,ON,ON,ON,OFF,OFF,OFF,OFF
2025-08-25 12:31:02,267.9,29,23.5,293.7,28.4,7.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:31:02,122,53.1,26,64,26.5,7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:31:02,267.9,29,23.5,293.7,28.4,7.3,ON,ON,ON,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:31:02,122,53.1,26,64,26.5,7,ON,ON,ON,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:27:09,252.3,36.7,22.5,209.6,28.4,7.3,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:57,243.9,38.6,21.3,217.8,28.3,7.2,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:55,241.8,39.2,20.9,224.6,28.4,7.3,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:53,242.2,41,21,222.1,28.1,7.3,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:45,244.3,39.8,21.2,229,28,7.3,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:43,246,40.2,21.6,225.9,27.8,7.3,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:39,246.7,40.4,22.1,219.6,27.5,7.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:37,247.4,39.4,21.9,229.4,27.3,7.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:35,251.8,40.1,21.5,237.4,27.1,7.3,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:33,252.5,41.4,21.4,245.6,27.1,7.3,ON,OFF,OFF,ON,OFF,OFF,OFF,OFF
2025-08-25 12:26:31,252.1,42.1,21.8,243.5,27.1,7.3,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:27,264,40.3,21.8,244.8,26.8,7.3,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:25,259.1,40.2,22.2,252.5,26.7,7.3,ON,ON,OFF,ON,OFF,OFF,OFF,OFF
2025-08-25 12:26:23,253.2,41.2,22,252.2,27,7.3,ON,ON,OFF,ON,OFF,OFF,OFF,OFF
2025-08-25 12:26:21,255.8,42.8,22,256.7,26.9,7.3,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:19,263.1,43.9,22,250.3,26.9,7.3,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:17,260.6,45.3,22.3,250.5,26.8,7.3,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:15,253.7,43.5,22.1,248.7,26.7,7.3,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:13,252,42.5,22,254.1,26.5,7.3,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2025-08-25 12:26:11,254.3,42,22.3,252.2,26.5,7.3,ON,OFF,ON,OFF,OFF,OFF,OFF,OFF
